"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-10-31",,,,,"49","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-01",,,,,"53","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-02",,,,,"53","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-03",,,,,"49","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-04",,,,,"53","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-05",,,,,"55","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-06",,,,,"49","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-07",,,,,"51","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-08",,,,,"50","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-09",,,,,"53","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-10",,,,,"50","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-11",,,,,"40","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-12",,,,,"46","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-13",,,,,"47","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-14",,,,,"46","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-15",,,,,"43","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-16",,,,,"46","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-17",,,,,"47","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-18",,,,,"48","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-19",,,,,"42","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-20",,,,,"43","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-21",,,,,"39","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-22",,,,,"36","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-23",,,,,"38","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-24",,,,,"40","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-25",,,,,"44","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-26",,,,,"43","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-27",,,,,"35","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-28",,,,,"33","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-29",,,,,"33","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-11-30",,,,,"27","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-12-01",,,,,"31","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-12-02",,,,,"39","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-12-03",,,,,"38","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-12-04",,,,,"34","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-12-05",,,,,"39","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-12-06",,,,,"41","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-12-07",,,,,"33","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-12-20",,,,,"30","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-12-21",,,,,"31","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-12-22",,,,,"25","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-12-23",,,,,"24","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-12-24",,,,,"27","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-12-25",,,,,"30","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-12-26",,,,,"27","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-12-27",,,,,"19","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-12-28",,,,,"19","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-12-29",,,,,"22","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-12-30",,,,,"21","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1945-12-31",,,,,"20","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-01",,,,,"25","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-02",,,,,"24","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-03",,,,,"20","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-04",,,,,"21","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-05",,,,,"18","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-06",,,,,"25","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-07",,,,,"24","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-08",,,,,"26","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-09",,,,,"21","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-10",,,,,"20","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-11",,,,,"23","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-12",,,,,"22","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-13",,,,,"32","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-14",,,,,"32","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-15",,,,,"25","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-16",,,,,"23","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-17",,,,,"22","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-18",,,,,"27","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-19",,,,,"35","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-20",,,,,"34","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-21",,,,,"26","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-22",,,,,"31","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-23",,,,,"38","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-24",,,,,"26","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-25",,,,,"28","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-26",,,,,"23","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-27",,,,,"25","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-28",,,,,"28","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-29",,,,,"26","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-30",,,,,"28","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-01-31",,,,,"31","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-01",,,,,"19","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-02",,,,,"19","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-03",,,,,"22","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-04",,,,,"26","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-05",,,,,"27","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-06",,,,,"30","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-07",,,,,"28","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-08",,,,,"27","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-09",,,,,"25","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-10",,,,,"32","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-11",,,,,"35","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-12",,,,,"30","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-13",,,,,"34","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-14",,,,,"40","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-15",,,,,"33","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-16",,,,,"27","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-17",,,,,"36","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-18",,,,,"35","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-19",,,,,"42","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-20",,,,,"35","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-21",,,,,"40","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-22",,,,,"31","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-23",,,,,"33","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-24",,,,,"43","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-25",,,,,"38","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-26",,,,,"36","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-27",,,,,"31","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-02-28",,,,,"30","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-03-01",,,,,"32","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-03-02",,,,,"36","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-03-03",,,,,"29","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-03-04",,,,,"31","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-03-05",,,,,"33","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-03-06",,,,,"30","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-03-07",,,,,"24","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-03-08",,,,,"25","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-03-09",,,,,"30","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-03-10",,,,,"31","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-03-11",,,,,"34","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-03-12",,,,,"35","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-03-13",,,,,"35","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-03-14",,,,,"32","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-03-15",,,,,"34","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-03-16",,,,,"30","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-03-17",,,,,"31","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-03-18",,,,,"34","H,,S",,,,
"CHM00054511","BEIJING, CH","39.933","116.283","55.0","1946-03-19",,,,,"32","H,,S",,,,
